charge,line,phase,repl,compound,is_standard,was_imputed,peak_area,n_peak_area
negative,am1,e,r1,Glycine,FALSE,FALSE,92970.30366873206,1.0397994825681767e-4
negative,am1,e,r1,Threonine,FALSE,FALSE,332368.19267529197,3.7172759593999286e-4
negative,am1,e,r1,Alanine,FALSE,FALSE,872126.5568464523,9.754047332943107e-4
negative,am1,e,r1,Threonic acid,FALSE,FALSE,198121.07487158303,2.2158278827544306e-4
negative,am1,e,r1,Glucose,FALSE,FALSE,1015721.3373520292,0.0011360041640557763
negative,am1,e,r1,Thiamine,FALSE,FALSE,17793460.134477515,0.019900581057421783
negative,am1,e,r1,Proline,FALSE,FALSE,171477.9109476961,1.917845118701633e-4
negative,am1,e,r1,Sorbitol,FALSE,FALSE,873639.5633909845,9.770969117212334e-4
negative,am1,e,r1,Pipecolic acid,FALSE,FALSE,4519.669300989869,5.054893460705238e-6
negative,am1,e,r1,Pyridoxamine,FALSE,FALSE,14477.659508122708,1.6192119710594404e-5
negative,am1,e,r1,Valine,FALSE,FALSE,2960395.1172696524,0.0033109683303848485
negative,am1,e,r1,Tyrosine,FALSE,FALSE,128269.4180235461,1.4345922216779972e-4
negative,am1,e,r1,Glycerate,FALSE,FALSE,166142.20426524305,1.8581694499276673e-4
negative,am1,e,r1,Acetyl glycine,FALSE,FALSE,40210.092107459364,4.497181499625104e-5
negative,am1,e,r1,Methionine,FALSE,FALSE,154532.84331744091,1.728327908810579e-4
negative,am1,e,r1,Pantothenate,FALSE,FALSE,30881.78750317921,3.453884240391668e-5
negative,am1,e,r1,Isoleucine,FALSE,FALSE,406839.2600050458,4.5501760814829e-4
negative,am1,e,r1,D-Xylose,FALSE,FALSE,34235.48278972713,3.828968593785758e-5
negative,am1,e,r1,Xanthine,FALSE,FALSE,31248.007301279315,3.494843034925409e-5
negative,am1,e,r1,Lactate,FALSE,FALSE,19037930.34167641,0.021292422781557317
negative,am1,e,r1,N-Acetyl-L-alanine,FALSE,FALSE,84901.78957913017,9.495595194359093e-5
negative,am1,e,r1,Leucine,FALSE,FALSE,436683.35874460294,4.883958775553435e-4
negative,am1,e,r1,Pterin,FALSE,FALSE,114153.66874907706,1.2767187049478223e-4
negative,am1,e,r1,Phenylalanine,FALSE,FALSE,289763.53573230206,3.2407764913314517e-4
negative,am1,e,r1,Guanine,FALSE,FALSE,7029.16362004949,7.86156482940763e-6
negative,am1,e,r1,Tryptophan,FALSE,FALSE,83010.28680156263,9.284045534760372e-5
negative,am1,e,r1,Acetylcholine,FALSE,FALSE,1240.8594910417598,1.387803423039663e-6
negative,am1,e,r1,2-Hydroxybutyric acid,FALSE,FALSE,1444402.93754854,0.001615450706103313
negative,am1,e,r1,Nicotinate,FALSE,FALSE,53901.679295732436,6.028477484699042e-5
negative,am1,e,r1,5-Methylcytosine,FALSE,FALSE,3074.373390628279,3.4384440349760698e-6
negative,am1,e,r1,Creatinine,FALSE,FALSE,31529.25491248279,3.526298360880342e-5
negative,am1,e,r1,Hypoxanthine,FALSE,FALSE,5886.515608480425,6.583603196174134e-6
negative,am1,e,r1,Acetyl-Methionine,FALSE,TRUE,1136.2146105078596,1.2707663818138279e-6
negative,am1,e,r1,Uridine,FALSE,FALSE,8080.611929973478,9.037526793027467e-6
negative,am1,e,r1,Hydroxyphenyllactic acid,FALSE,FALSE,13262.742818545104,1.4833331263815242e-5
negative,am1,e,r1,2-Hydroxy-3-methylbutyric acid,FALSE,FALSE,1586694.3659961296,0.0017745924404369729
negative,am1,e,r1,Pyruvate,FALSE,FALSE,1112132.4128040597,0.001243832344036841
negative,am1,e,r1,Adenine,FALSE,FALSE,75904.90212818446,8.489364328474146e-5
negative,am1,e,r1,Acetyl leucine,FALSE,FALSE,39400.7403746227,4.4066618949976045e-5
negative,am1,e,r1,Phenylethanolamine,FALSE,FALSE,1200896.5349840391,0.0013431080102132467
